IP Interface Status for VRF "CORP"(10)
Interface            IP Address      Interface Status
Vlan3917             10.200.11.252   protocol-up/link-up/admin-up       
Vlan3918             10.200.35.252   protocol-up/link-up/admin-up       
Vlan3919             10.200.37.252   protocol-up/link-up/admin-up       
Vlan3920             10.200.39.252   protocol-up/link-up/admin-up       
Vlan3921             10.200.41.252   protocol-down/link-down/admin-down 
Vlan3924             10.200.43.252   protocol-up/link-up/admin-up       
Vlan3928             10.200.7.252    protocol-up/link-up/admin-up       
Vlan3929             10.128.144.49   protocol-up/link-up/admin-up       
Vlan3931             10.200.44.252   protocol-up/link-up/admin-up       
Vlan3932             10.200.45.252   protocol-up/link-up/admin-up       
Lo4                  10.250.201.19   protocol-up/link-up/admin-up       
Lo40                 10.128.8.50     protocol-up/link-up/admin-up       
Po300                10.128.144.101  protocol-up/link-up/admin-up       
Po10.1               10.250.201.225  protocol-up/link-up/admin-up       
Eth1/1.4             10.250.201.130  protocol-up/link-up/admin-up       
Eth2/1.4             10.250.201.170  protocol-up/link-up/admin-up       
Eth3/9               10.250.201.209  protocol-down/link-down/admin-down 
Eth12/16             10.128.144.109  protocol-down/link-down/admin-down 
Eth17/46             10.128.179.1    protocol-down/link-down/admin-down 
Eth18/47             10.128.144.85   protocol-up/link-up/admin-up
